Id,SalePrice
1461,87693.08
1462,88724.08
1463,89128.47
1464,89274.97
1465,89390.97
1466,89343.47
1467,88560.58
1468,89066.47
1469,87894.08
1470,87451.51
1471,88916.57
1472,88655.97
1473,88192.97
1474,87569.97
1475,88829.07
1476,86268.97
1477,88010.58
1478,88808.08
1479,88842.58
1480,86347.01
1481,88683.47
1482,89671.97
1483,88548.58
1484,88826.47
1485,87567.47
1486,89869.97
1487,89305.47
1488,87672.58
1489,89479.58
1490,88282.08
1491,89869.97
1492,87475.9
1493,86602.12
1494,89078.97
1495,89524.97
1496,88911.47
1497,88528.47
1498,89165.47
1499,88696.97
1500,88698.97
1501,87896.47
1502,88525.47
1503,90653.08
1504,90874.97
1505,89693.08
1506,88923.58
1507,89378.47
1508,89838.97
1509,90315.47
1510,90439.58
1511,87681.01
1512,89679.58
1513,88698.97
1514,87532.47
1515,87832.97
1516,87873.4
1517,88543.97
1518,87534.9
1519,89106.08
1520,87461.58
1521,88327.58
1522,88887.08
1523,88982.47
1524,87461.58
1525,86728.51
1526,87620.08
1527,87355.9
1528,89087.97
1529,86340.51
1530,88371.58
1531,87993.4
1532,88123.47
1533,87631.58
1534,88225.4
1535,90544.47
1536,88684.8
1537,84589.58
1538,89010.41
1539,89018.97
1540,87445.58
1541,88306.47
1542,88195.9
1543,87902.4
1544,88037.47
1545,88370.08
1546,88782.97
1547,88635.9
1548,88961.47
1549,89162.97
1550,88867.97
1551,88111.97
1552,89369.3
1553,88620.47
1554,88855.47
1555,88606.08
1556,88559.3
1557,89095.47
1558,89057.47
1559,86638.8
1560,88740.97
1561,88549.47
1562,87349.58
1563,87675.08
1564,87611.47
1565,90328.47
1566,88484.58
1567,85979.4
1568,88941.97
1569,88719.47
1570,89181.08
1571,88281.47
1572,87563.08
1573,87630.58
1574,87823.08
1575,89910.58
1576,88645.97
1577,88643.08
1578,88814.97
1579,86576.0
1580,89658.97
1581,88858.08
1582,87349.58
1583,88887.08
1584,90122.47
1585,88459.97
1586,87628.97
1587,87153.01
1588,86985.51
1589,87034.08
1590,87534.07
1591,87743.58
1592,87574.97
1593,87544.4
1594,87732.47
1595,88753.97
1596,89459.47
1597,87322.97
1598,87356.47
1599,89953.97
1600,89159.97
1601,88342.97
1602,91313.47
1603,85265.34
1604,88688.97
1605,89066.47
1606,89036.97
1607,87660.97
1608,88250.58
1609,88842.58
1610,88657.97
1611,87631.58
1612,87431.08
1613,87563.08
1614,88647.47
1615,89668.47
1616,88180.47
1617,88703.47
1618,87349.58
1619,88438.58
1620,86854.97
1621,88327.97
1622,88849.8
1623,89441.58
1624,90130.97
1625,87989.65
1626,89109.65
1627,88891.04
1628,89722.54
1629,89212.54
1630,89068.64
1631,88598.64
1632,88920.14
1633,88056.04
1634,89472.54
1635,89311.54
1636,88938.65
1637,89766.54
1638,89347.65
1639,89433.15
1640,89725.04
1641,87811.65
1642,89411.54
1643,89207.54
1644,89052.04
1645,86883.08
1646,88575.15
1647,87126.58
1648,88993.15
1649,87539.65
1650,86508.26
1651,87753.15
1652,88556.54
1653,88556.54
1654,87706.54
1655,89404.14
1656,89006.54
1657,87691.54
1658,88474.54
1659,89356.64
1660,89377.15
1661,87905.54
1662,90289.04
1663,86480.08
1664,86616.47
1665,86415.08
1666,89998.15
1667,89968.54
1668,86475.08
1669,89456.15
1670,85240.51
1671,89551.65
1672,88200.65
1673,89872.54
1674,89048.15
1675,89491.64
1676,89406.54
1677,89261.04
1678,84654.62
1679,88414.15
1680,86619.97
1681,87383.47
1682,89841.65
1683,89702.64
1684,88277.54
1685,88690.54
1686,88892.14
1687,87767.54
1688,89537.54
1689,89525.04
1690,89411.54
1691,89627.54
1692,88927.54
1693,87744.54
1694,89411.54
1695,87593.04
1696,87525.97
1697,87706.54
1698,89790.04
1699,88574.15
1700,90116.54
1701,89728.54
1702,89445.65
1703,89445.65
1704,88993.15
1705,89498.15
1706,90999.65
1707,89327.15
1708,89279.65
1709,89279.65
1710,89037.15
1711,89525.04
1712,88693.15
1713,89256.65
1714,89433.15
1715,89215.04
1716,89725.65
1717,87913.15
1718,89219.65
1719,89659.04
1720,89456.15
1721,89187.15
1722,89169.65
1723,88944.65
1724,89192.65
1725,89730.04
1726,89715.04
1727,89216.54
1728,89633.54
1729,88677.54
1730,88124.54
1731,89284.65
1732,89228.15
1733,87753.15
1734,88025.15
1735,87939.65
1736,87879.65
1737,88834.65
1738,89525.04
1739,89344.04
1740,90219.04
1741,89059.54
1742,88725.54
1743,88790.54
1744,86475.08
1745,89217.65
1746,88672.54
1747,88941.04
1748,89659.04
1749,89313.15
1750,86119.76
1751,91223.54
1752,87699.65
1753,89256.65
1754,88424.15
1755,88827.54
1756,87924.65
1757,87989.65
1758,87112.58
1759,88200.65
1760,89698.65
1761,87382.26
1762,89009.37
1763,87626.07
1764,89192.65
1765,89638.98
1766,89500.65
1767,89077.15
1768,87913.15
1769,88282.65
1770,87913.15
1771,88032.76
1772,87753.15
1773,90041.15
1774,88318.97
1775,87503.58
1776,87223.08
1777,87263.47
1778,87781.15
1779,88528.65
1780,88110.3
1781,88135.65
1782,89219.65
1783,88860.54
1784,88056.47
1785,88164.87
1786,88311.37
1787,87150.47
1788,88422.54
1789,87237.54
1790,89144.54
1791,86892.47
1792,87942.15
1793,88169.65
1794,88187.15
1795,87588.08
1796,90592.15
1797,87233.98
1798,87781.15
1799,88650.65
1800,87724.14
1801,90559.04
1802,88154.15
1803,90396.04
1804,89615.14
1805,88575.15
1806,89425.04
1807,89274.54
1808,88916.54
1809,87263.97
1810,90255.04
1811,87706.47
1812,88904.37
1813,89918.04
1814,87657.47
1815,86861.97
1816,88721.54
1817,87854.54
1818,89235.04
1819,89726.54
1820,89112.54
1821,89052.54
1822,88858.37
1823,87396.65
1824,89266.04
1825,88940.04
1826,88650.47
1827,88444.54
1828,88791.04
1829,88435.54
1830,88084.54
1831,88496.54
1832,86794.65
1833,88184.54
1834,90590.54
1835,90946.04
1836,88465.47
1837,86658.25
1838,89646.37
1839,88187.15
1840,87604.04
1841,87574.14
1842,87998.04
1843,89094.76
1844,86875.07
1845,89250.04
1846,88173.54
1847,90076.14
1848,85143.47
1849,87629.58
1850,87980.65
1851,90543.54
1852,87973.15
1853,89216.54
1854,89120.14
1855,88174.14
1856,89216.54
1857,88848.54
1858,86432.65
1859,87011.25
1860,86634.25
1861,87011.25
1862,88436.04
1863,88326.04
1864,88326.04
1865,86045.01
1866,86658.26
1867,89250.65
1868,91003.15
1869,88025.15
1870,89237.65
1871,89204.15
1872,89036.54
1873,90250.54
1874,88489.15
1875,88949.48
1876,90222.54
1877,89998.15
1878,89077.15
1879,86741.58
1880,87989.65
1881,88864.15
1882,89917.54
1883,89472.54
1884,88996.04
1885,89095.65
1886,89250.65
1887,88378.15
1888,89435.15
1889,88888.54
1890,89812.15
1891,89811.04
1892,88063.15
1893,89852.65
1894,88469.14
1895,87811.65
1896,89372.54
1897,87514.08
1898,90190.54
1899,88896.54
1900,90199.04
1901,90858.54
1902,88437.65
1903,87482.47
1904,87879.65
1905,89308.65
1906,88747.54
1907,90458.15
1908,88958.04
1909,88805.04
1910,88770.04
1911,90312.54
1912,89372.65
1913,89794.87
1914,87718.54
1915,86836.97
1916,88718.04
1917,89630.04
1918,88938.54
1919,90253.14
1920,86880.26
1921,86000.58
1922,84883.08
1923,90159.04
1924,89576.14
1925,89068.54
1926,86702.08
1927,88786.15
1928,88647.15
1929,87935.14
1930,88822.64
1931,89390.14
1932,89180.04
1933,91233.37
1934,89508.15
1935,89230.15
1936,89141.65
1937,88971.04
1938,89213.76
1939,86294.07
1940,89391.75
1941,88969.04
1942,88870.65
1943,89896.15
1944,88752.04
1945,85555.26
1946,86630.65
1947,89885.15
1948,87486.76
1949,88726.26
1950,87342.26
1951,86708.08
